New York City Housing and Vacancy Survey,,,,,
2017 Record Layout,,,,,
Household Records -- Vacant Units,,,,,
Character,,,Source,,
,Item Number,Item Name,,Variable Name,Code and Description
Position,,,Code,,
1,,Record Type,,,3=VACANT
2,,Borough,,BORO,1=Bronx
,,,,,2=Brooklyn
,,,,,3=Manhattan
,,,,,4=Queens
,,,,,5=Staten Island
3,,Blank,,,
4-8,D,Condition of External Walls,001,UF1_1,"Missing bricks, siding, or other outside wall material or"
,,,,,sloping or bulging outside walls
,,,003,UF1_3,Major cracks in outside walls
,,,004,UF1_4,"Loose or hanging cornice, roofing, or other material"
,,,005,UF1_5,None of these problems with walls
,,,006,UF1_6,Unable to observe walls
,,,,,1=Response selected
,,,,,8=No condition reported
,,,,,9=Response not selected
9-13,E,Condition of Windows,007,UF1_7,Broken or missing windows
,,,008,UF1_8,Rotten/loose window frames/sashes
,,,009,UF1_9,Boarded up windows
,,,010,UF1_10,None of these problems with windows
,,,011,UF1_11,Unable to observe windows
,,,,,1=Response selected
,,,,,8=No condition reported
,,,,,9=Response not selected
14-19,F,Condition of Stairways,012,UF1_12,"Loose, broken, or missing stair railings"
,,(Exterior & Interior),013,UF1_13,"Loose, broken, or missing steps"
,,,014,UF1_14,None of these problems with stairways
,,,015,UF1_15,No interior steps or stairways
,,,016,UF1_16,No exterior steps or stairways
,,,035,UF1_35,Unable to observe stairways
,,,,,1=Response selected
,,,,,8=Condition not reported
,,,,,9=Response not selected
20-24,G,Condition of Floors,017,UF1_17,Sagging or sloping floors or slanted or shifted doorsills or door frames
,,,019,UF1_19,Deep wear in floors causing depressions
,,,020,UF1_20,Holes or missing flooring
,,,021,UF1_21,None of these problems with floors
,,,022,UF1_22,Unable to observe floors
,,,,,1=Response selected
,,,,,8=No condition reported
,,,,,9=Response not selected
25,,Blank,,,
,,,3-36,,

New York City Housing and Vacancy Survey,,,,,
2017 Record Layout,,,,,
Household Records -- Vacant Units--Continued,,,,,
Character,,,Source,,
,Item Number,Item Name,,Variable Name,Code and Description
Position,,,Code,,
26,H,Condition of Building,023,,1=Dilapidated
,,(Observation),,,2=Sound
,,,,,3=Deteriorating
,,,,,8=Not reported
27,I,Any Buildings with Broken,024,,1=Yes
,,or Boarded-Up Windows,,,2=No
,,(Observation),,,8=Not reported
28,J (1),Wheelchair Accessibility - Street Entry,036,,1=Accessible
,,and Inner Lobby Entry,,,2=Inaccessible
,,,,,3=Unable to observe building entrance
,,,,,8=Not reported
29,J (2),Wheelchair Accessibility - Elevator,037,,1=Accessible
,,,,,2=Inaccessible
,,,,,3=Unable to observe elevator
,,,,,4=No elevator
,,,,,8=Not reported
30,J (3),Wheelchair Accessibility - Residential Unit,038,,1=Accessible
,,Entrance,,,2=Inaccessible
,,,,,3=Unable to observe residential unit entrance
,,,,,8=Not reported
31,L,Vacant Unit Respondent,030,,1=Superintendent
,,,,,2=Rental office/agent
,,,,,3=Real estate agent/broker
,,,,,4=Owner
,,,,,5=Other
,,,,,8=Not reported
32,59,First Occupancy,518,,1=First Occupancy
,,,,,2=Previously occupied
,,,,,3=Don't know
,,,,,8=Not reported
33-34,60,Number of Units in Building,519,UF47,01=1 unit without business
,,,,,02=1 unit with business
,,,,,03=2 units without business
,,,,,04=2 units with business
,,,,,05=3 units
,,,,,06=4 units
,,,,,07=5 units
,,,,,08=6 to 9 units
,,,,,09=10 to 12 units
,,,,,10=13 to 19 units
,,,,,11=20 to 49 units
,,,,,12=50 to 99 units
,,,,,13=100 units or more
,,,3-37,,

New York City Housing and Vacancy Survey,,,,,
